comment_text,is_toxic
"Actually, that is just an example of someone using the expression in a non-redundent manner.  It happens so infrequently that you were able to cite it as an example.  Congratulations, you get a cookie.",0
"""

 Flavio Briatore and template 

You are the only editor that thinks this is a significant part of his notability, it is not. WP:BLP applies so get consensus at the talk pages for your changes BEFORE you make them. king (edits)  """,0
"Thank you, Edward!  Your solution to keeping this useful data in Wikipedia is well thought out.  Let's just hope this keeps certain parties from wanting to destroy this information.",0
"""
You clearly doesn’t understand that Conesus means that every editor must agree.
(It´s fair to ask the question if you are a bit illiterate? or isn´t English your born language)
Clearly I don’t agree with you.
Wikipedia is primarily about making new correct and useful information public for a brooder amount of people quicker than ordinary dictionaries.
Do you agree we have """"Conesus"""" on the above""",0
I support it's inclusion and and Lulu and Banjeboi eventually acknowledged the relationship is notable.,0
"""

 request a deleted article 

Hi, you closed Wikipedia:Articles for deletion/List of law firms in Uganda last year.  While your closing that as """"Delete"""" was reasonable given the discussion, I and maybe some others are now wanting to develop the topic (see discussion within current Wikipedia:Articles for deletion/Birungyi Barata.), and I would like both to see the edit history and to ensure that past contributors are properly credited in a re-developed list-article.  Could you possibly please restore a full copy, with edit history, of the List of law firms in Uganda article, to Draft:List of law firms in Uganda? ncram """,0
"Addendum: Although this is not so important, note that he ruled over several tribes, which itself means that he cannot be a chieftain, because a chieftain normally rules over one tribe.",0
"""

 European Court of Human Rights's Decision is NOT a DEFAMATORY content 
You warned me to add """"defamatory content"""" in Talk:Armenian Genocide page (http://en.wikipedia.org/wiki/Talk:Armenian_Genocide). Notice that what I added is the DECISION OF EUROPEAN COURT OF HUMAN RIGHTS about Armenian """"Genocide"""". You CANNOT LABEL the decision of ECtHR as """"Defamatory Content"""". I will complain about you in related Wikipedia forums.
Notice and think twice whether the following content is defamatory:
 European Court of Human Rights (ECHR) Decision On The 1915 Armenian Event 
This must be added to the article:
On 17 December 2013, (the case: Perinçek v. Switzerland (application no. 27510/08)) European Court of Human Rights (ECHR) punished Switzerland for criminally convicting Mr. Perinçek for publicly challenging the existence of the Armenian genocide. Perinçek said """"Armenian genocide is an international lie"""". ECHR punished Switzerland for violating Perinçek's right of freedom of expression (Article 10). ECHR referenced three decisions on its verdict: 
a. In November 2007, The Spanish Constitutional Court had found unconstitutional the offence of negation and had taken the view that
the mere negation of a crime of genocide did not constitute direct incitement to violence. 
b. In February 2012, the French Constitutional Council had declared unconstitutional a law which made it a criminal offence to deny the existence of the genocides recognised by the law, finding it to be incompatible with freedom of expression and freedom of research. 
c. The United Nations Human Rights Committee had expressed its conviction that “[l]aws that penalize[d] the expression of opinions about historical facts [were] incompatible with the obligations that the Covenant [on Civil and Political Rights] impose[d] on States parties ...” and that the “Covenant [did] not permit general prohibition of expressions of an erroneous opinion or an incorrect interpretation of past events”.ECHR ECHR punished Switzerland for criminally convicting Mr. Perinçek for publicly challenging the existence of the Armenian genocide (Perinçek said """"Armenian genocide is an international lie"""").

I hope now that the researchers can freely and without any fear research what happened in 1915.
Notice that in 2013 ALL Ottoman Empire archieves are open to the researchers and any researcher can freely read ALL the archieves and documents in Turkey.
However, Armenia still does not allow its archieves to be searched and reserached. 212.174.38.3  

References
""",0
"Sorry dude, but that's just the way the Wikipedia is set up.  Either go with the flow, or find somewhere else to make your own world, with your own customs to follow.",0
"Within Temptation 
The band has nothing to do with Gothic rock. It's a METAL band, strictly speaking a SYMPHONIC METAL band.",0
"Can You please adopt me?

I've had a rough start to wikipedia, I just finished a block, but that was not because i was trying to be deliberately disruptive, but because I was trying to help and made a mistake.

I am quite desperate!

Thank-You",0
"Georgian Terrace Hotel 

Added architectural detail and history to the page.  Let me know if you see something screwy.  My eyes are shot, I've been working on this for over five hours - that is the research and writing.  I know that the Fox Theatre district photos would be good to have on their own page, but since one doesn't exist, I thought I'd attach them here...let me know what you think.  Cheers.",0
"""

I'm happy to believe that the name """"Blackbeard"""" is used to describe a character in an upcoming movie. The issue for this article is why that is sufficiently significant to the modern cultural understanding of Blackbeard, for it to warrant inclusion in the article on the historical figure. Simply stating that Blackbeard is mentioned in a modern-day film/book/comic/play doesn't tell us anything about how the historical figure is interpreted, and risks being indiscriminate information which does little to advance our understanding of the topic. I suspect before we include the fact that Blackbeard wll be mentioned in yet another modern movie, we would need to know how this mention is of enduring cultural significance. I also doubt that the real-life Blackbeard can be presented in a historically accurate context in the otherwise fictional universe of POTC> More likely, and with all respect to Ian McShane, it is likely Blackbeard will simply be a large black-bearded pirate who has matches in his beard and says """"Yarr."""" An entertaining figure no doubt, but not one that advances this article, which is about the real-life Caribbean pirate.

I don't mean this to sound snarky, so my apologies if it comes across that way. It's just that articles like this can quickly amass extensive and fairly trivial lists of mentions, including every time the subject is even referred to in sitcoms and the like. Check out the page history from about a year ago, to see what I mean. I'd prefer not to return to simple lists of mentions, even when Blackbeard is a major character in the film/novel/comic/TV episode. Instead and for what its worth, I support Parrot's suggestion of mentioning it at the film's article, where it has apropriate context.

Views, comments welcome.   """,0
"of Wikipedia and its rules must be interpreted oppositely to declaration. So far, go fuck yourself",1
"""

 Problems with Call of Duty 

I've been having problems with my copy of CoD. When I try to use the colour prefixes, (^1-0) hen the game should """"delete"""" the prefixes and let me type in the appropriate colour, it completely screws up the placing, forcing me to mentally spell while typing. (the letters are shown at the wrong time while typing, but turn out right when entered. Can someone help me? """,0
dragon rape your 80 pound nerdy ass while I get drunk and jerk off. Fucking loser.,1
"Also, I have already added a lot on Latin America in three different sections in History.  I will add California missions after I do some research on that.  I think my additions have sufficiently addressed Sandy Georgia's comments, I mean there really is a lot of expansion and content on that subject now.",0
"""

why don't you """"REMOVE"""" my free speech you goddamned self, you whiny little pipsquak. That's all you seem to be good at doing.""",1
tell to a sysop to make checkuser on you,0
"DEAR GILLIAM, YOU PIECE OF SHIZZ

YOU THINK YOU KNOW POKEMON? I MADE POKEMON. ONLY FOR IT TO GET STOLEN BY THOSE FRAUDULENT FRAUDS AT GAME FREAK (hawaii)
THIS IS NOT THE END OF THIS

WITH LOVE,
FRANK MILLER

MWAH",1
"""Currently, under external links (or whatever) of the moot court article, there is a reference to a First Amendment moot court competition. Nearly all moot court competitions charge fees. Why is this allowed to remain while bestmootcourtprograms.com, which (for no fee) adds up finishes (winner/finalist/semifinalists) across large moot court competitions, has been systematically deleted by the powers that be.

However, not a single one of us should delete the First Amendment MCC unless he/she is also prepared to delete every article referenced under the """"see also"""" section of the """"moot court"""" article. Each of these is a moot court competition (or proxy therefor, i.e. alumni association thereof), and nearly all moot court competitions charge fees. From what I've learned of wikipedia's deletion practices of articles such as """"best moot court programs,"""" articles regarding moot court competitions should be likewise deleted.

I understand now that the proper place for referencing the notable bestmootcourtprograms.com may be under external links (moot court article) under the link name """"Best Moot Court Programs (United States"""". People no doubt want to check out how American law schools stack up when facing each other. However, under see also and external links, all referenced to moot court competitions should be deleted. The articles should be as well.

However, if these competition articles are not deleted because someone decides they are consistent with wikipedia's preference for notability and prohibition of advertising, then that decisions-maker should think very seriously about reinstating """"best moot court programs"""" as an article as well. 

""",0
"Hey, pile on! It's the thing to do.",0
"We should stick to English usage, as J.Kenney above mentioned, instead of catering to particular nationalities.",0
"Vattel- Any Idea? 

I thought that Emer de Vattel inspired US. about non interventionism as he is the pioneer of it. Here, he is credited as the root of non interventionism idea. You know, founding fathers are inspired by mainly Law of Nations, Vattel's masterpiece.",0
"08 Yankees Season  

Please do not delete my contributions just because for some reason you deem them 'speculatory'. It is improbable if not impossible that the Yankees will make the playoffs this year and their remaining games against Boston are at Fenway. Therefore the Red Sox will not return to play a game in old Yankees Stadium. And even if the Yankees do somehow make the playoffs, they haven't made it past the first round since 2004 and everyone knows that 2 teams from the same division do not play each other in the Division Series. Food for thought, digest it as you will.",0
"Hardly a conflict of interest, the NPIA page is extremely neutral. I can only think that it is because I am British and not American that I am being treated in this way.

The NPIA page merely shows the functions of the agency in relation to it's work, it's not controversialor baised.",0
yes agree with u i changed it in old version ;),0
""" Feb 2005 (UTC)

I would like to know how you earned the title to decide who is """"a serious conservative"""" and who isn't?  Also, how is that relavant to whether something is NPOV or not?  I don't think your comment has anything to do with what is NPOV, but I am absolutely sure that your comment indicates that you are bias.  It doesn't matter if Byrd was a Kleagle 60 years ago or 50 years ago or if was a Kleagle in 2001 when he was talking about """"White N****.""""  The fact that he was a Kleagle is the probably one of the most important aspects of his whole career.  He even admits that himself when he tells other potential Kleagles not to become Kleagles because the whole Kleagle thingeven if you are like Byrd and think the Kleagle thing is coolwill hurt you because guys like me (the supposedly UNserious conservative) will remind him of his Kleagle days every chance that I get.  Byrd was a Kleagle and that is one of the most important aspects of his whole career.  He even admits the fact that his Kleagle-ness has held him back to bigger and better things.  And don't argue that he didn't want bigger and better things than to be the head Kleagle from West Virginia.  He did run for the Presidency and the whole Kleagle surely couldn't have helped.  You like the guy, so you want to minimize the Kleagle thing, but it would NOT be NPOV because that's who Byrd is:  the oldest, highest ranking Kleagle still in politics.  Head Kleagle.  Grand Kleagle of the Senate.  El Demo Grande Kleagle. 03:24, 16""",0
"""

Thank you for taking my suggestion by coming here to Talk instead of just reverting without explanation. I have indeed reverted some changes by Jayjg.  However, these changes were not actually improvements.  Briefly:
 act-now.org is brought up as an example of how """"circumcision advocacy"""" is a term used by some advocates, whereas Jay's version makes it sound otherwise.  Regardless of the subjective quality of the web site, suppressing any mention of it would be POV, hence unacceptable.  WP:NPOV is not negotiable.
 The definition of circumcision advocacy is accurate and not OR.  If you have some sort of specific complaints, I suggest altering the text instead of removing it.
 The article already mentions masturbation, you would like to omit the relevant and cited fact that masturbation is harmless and NOT prevented by circumcision.  Omiting this would be POV and WP:NPOV is not negotiable.
 Actually, what's reintroduced is the history with regard to advocacy, which is entirely relevant.
In short, these deletions all serve to harm the neutrality and comprehensiveness of the article.  Therefore, I will be forced to continue restoring the text if you attempt to remove it without an acceptable explanation.  Your explanations thus far are not acceptable.  Thank you for understanding.  """,0
"Unspecified source for Image:Nana.JPG

Thanks for uploading Image:Nana.JPG. I noticed that the file's description page currently doesn't specify who created the content, so the copyright status is unclear. If you did not create this file yourself, then you will need to specify the owner of the copyright. If you obtained it from a website, then a link to the website from which it was taken, together with a restatement of that website's terms of use of its content, is usually sufficient information. However, if the copyright holder is different from the website's publisher, then their copyright should also be acknowledged.

As well as adding the source, please add a proper copyright licensing tag if the file doesn't have one already. If you created/took the picture, audio, or video then the  tag can be used to release it under the GFDL. If you believe the media meets the criteria at Wikipedia:Fair use, use a tag such as  or one of the other tags listed at Wikipedia:Image copyright tags#Fair use. See Wikipedia:Image copyright tags for the full list of copyright tags that you can use.

If you have uploaded other files, consider checking that you have specified their source and tagged them, too. You can find a list of files you have uploaded by following [ this link]. Unsourced and untagged images may be deleted one week after they have been tagged, as described on criteria for speedy deletion. If the image is copyrighted under a non-free license (per Wikipedia:Fair use) then the image will be deleted 48 hours after . If you have any questions please ask them at the Media copyright questions page. Thank you.  (tlk) (cntrbtns)",0
Mmmm... yes... a pint of palestinian blood would be a fine dessert right now. -  talk/email,1
"""i told you suck monkey butts!!!!!!!!!!"""" said George Washington.........""""hahahahaha and 2 more ha ha ha ha ha oh wait thats 4 ....hahahahahaha""",1
"""

Didn't know http://chartarchive.org/ was an unofficial website. I would have changed those """"dead links"""" into a http://www.officialcharts.com/ link if I had known that the direct links were unofficial, like this one.   """,0
"""

 CFR is a perfectly accurate source. 

The """"Council On Foreign Relations"""" (CFR.ORG) is a recognized, legitimate think-tank that studies international terrorisim for the United Staes Govt. to claim they are """"Not Credible"""" is idiotic.
They are as legitimate as any online newspaper or other source. They have studied Northern Ireland, and compliled a list of UDA/UVF killed by the IRA/INLA, and vice versa. These facts are good and will be included in the article.""",0
"At the time Avi stepped in to stop the move war, the page was at Voßstraße.  Therefore, protection had to be applied to that version.",0
"""

Welcome!

Hello, and welcome to Wikipedia. Thank you for your contributions.

Currently, you are editing without a username. You can continue to do so, as you are not required to log in to Wikipedia to read and edit articles; however, logging in will result in a username being shown instead of your IP address (yours is 128.175.82.211). Logging in does not require any personal details, and there are many other benefits for logging in.

When you edit pages:

 Please respect others' copyrights; do not copy and paste the contents from webpages directly.
 Please use a neutral point of view when editing articles; this is possibly the most important Wikipedia policy.
 If you are testing, please use the Sandbox to do so. 
 Do not add unreasonable contents into any articles, such as copyrighted text, advertisement messages, and text that is not related to an article's subject. Adding such content or editing articles maliciously is considered vandalism.

The Wikipedia Tutorial is a good place to start learning about Wikipedia. For now, if you are stuck, you can click the edit this page tab above, type {{helpme}} in the edit box, and then click Save Page; an experienced Wikipedian will be around shortly to answer any questions you may have. Also feel free to ask a question on . I will answer your questions as far as I can! Thank you again for contributing to Wikipedia.  (Talk - contribs) """,0
"Apologies - its not you specifically - I have come across some intractable must have em all category makers who include parent grandparent and child cats with some level of insistence, who dont seem to understand or learn even after being alerted to the issue - hey good stuff if you can work it out - and hope you enjoy your stay on wikipedia! Suro",0
"My approach would not preclude the articles you're talking about.  It would make it clear in those articles of how they are perceived by authorities on the subject.  As it stands, you're giving undue weight to the believers as opposed to expressing the widely-held expert view.",0
"""

Can you find a bit more on Martha Levisman for DYK, there's a few hits in google books but usually scraps in Spanish.♦  """,0
"But a layman reading the article does not get that point as well as you have just laid out. There are multiple sections that go into technical shortcomings of the design,",0
"User:Daniel_Chiswick 17 April, 2007.

Also adding the E.U. as a supernational military organization is already pushing it, if I were you I would be content with what you already have since the European Rapid reaction force does not have a 200+ billion budget or anything even near that, but whatever helps you sleep at night....",0
"Misspelling 
Isn't it supposed to be spelled PASCHENDALE?",0
"Thanks 

Hi, I saw your additions to the Maronite Church article. The overview section is very helpful but it would be even better if you cited your sources to avoid editors from contesting the passages. I hope you don't think of me as snooty but I'm having rather an unpleasant experience with POV motivated editors who make editing here a miserable experience and the only way to make things more transparent is to reference every passage. Kind regards.  (talkallam)",0
"Hi again, below is the edit I would like to make to the wiki page about me.  Pretty much all of the information is a matter of public record and pretty easily verifiable.  This is the same bio that is used by the university at which I am a professor.  In fact, I think thats how the edit may have gotten tagged as a copyright violation.  Nevertheless, this bio, which I wrote, does appear in various public forums so I hope that it doesnt present any problems.  Here is what I would like to say:

Andy Brick is a prolific composer, conductor and symphonist.  In 2003 Brick set a historic milestone conducting the Czech National Symphony Orchestra in the world’s first symphonic game music concert at the Gewandaus, Leipzig Germany to a sold out audience of 2200.  Andy wrote the fanfare to this historic concert event which featured his music for Merregnon II. He has served as the exclusive principle conductor and music director of the concert series leading repeatedly sold out performances from 2003-2008. In 2005 Andy was appointed music director of  the European concert series, “Heros of Imagination”.  This concert series featured new symphonic music written by Andy and performed by the Neue Elbland Philharmonie.  Brick also served as music director for the first Chamber Music Concert of the Kammerphilharmonie.  Brick has conducted over 70 game titles including Final Fantasy, Super Mario Bros., Legend of Zelda, Halo, and World of Warcraft with orchestras throughout the world including The Prague Symphony, The Czech National Symphony, The North Carolina Symphony, The Bratislava Symphony, The Moravian Philharmonic, The Filmharmonic of Prague and members of the New York Philharmonic and Detroit Symphony. In 2007 Andy Brick was appointed associate conductor of “Play! A Video Game Symphony” and made his most recent appearance conducting the North Carolina Symphony in July 2009.   

Andy has composed and/or orchestrated music for such blockbuster Game titles as Maxis’ Sim City: Rush Hour, Midway Entertainments’ Stranglehold, Electronic Arts’ Sims 2 and Warhammer: Day of Reckoning as well as Nintendos Super Mario Bros., Bungie’s Halo 3, and  Square Enix Final Fantasy series.   His music has also been featured in such game titles as Arc The Lad by Working Designs, Shadoan by Interplay, The Far Reaches by 3DO, Tesselmania by  MECC and others. 

As a protégé of Walt Disney Pictures’ Andy wrote scores for animated feature films such as Little Mermaid II and The Lady and The Tramp II. In 2007 Andy was commissioned by Walt Disney to compose and conduct music for Sinbad’s Storybook Adventure.  In 2008 Disney/ABC Television again commissioned Andy to write new music for ABC’s Schoolhouse Rock. Andy re-orchestrated the classic film Mutiny On the Bounty for Warner Bros. Pictures.  Andy’s Tone Poem The Story of The Red Rose was used in its entirety on the film of the same name and earned him best original score for the film which debuted at the Sundance Film Festival.  He has also scored various independent films including Uphill All The Way with Susan Sarandon and The Cine Golden Eagle award winning Chatham County.   In 2009 Andy was retained as senior orchestrator for the upcoming Broadway musical Verse of Fortune. 

Andy has been featured by the American Music Center’s “The New Music Box”, PRI’s “Studio 360” the National broadcast of the CBS Evening News and various local and national media outlets.    In Print, Andy has been the featured composer in the New York Times article “A Composer Gives Video Games a Musical Life” and was the featured “Songwriter” in Billboard Magazine’s. article “Brick Brings Videogame Scores to Life with Orchestra”  Recently, Andy was selected as the featured conductor in the “Young, Gifted, and Engaged” issue of SYMPHONY Magazine. In October 2004 Andy received his first orchestral concert commission.  The resulting work entitled “Gygrans Song” was performed live by the Moravian Philharmonic.  In June 2005 Andy won the prestigious “Masterworks of the New Era” award for his concert composition “Hungarian Overture”.  The work was recorded by the Kiev Philharmonic and released on the ERM label and distributed in all major retail outlets throughout the US and Europe.  In Jan 2009 Andy completed work on his most recent concert piece entitled The Peacock. 

Andy Brick is a graduate of the University of Michigan where he studied Composition with Pulitzer Prize winning composer Leslie Basset.  Brick continued his studies in composition and theory at Mannes College of Music, New York.  He currently serves as Associate Professor and Director of the Music program at Stevens Institute of Technology.  

More information on Andy Brick is available online at www.andybrick.com",0
"Hello Again Lee,

I already blocked you several times from trying to put up fake posts on our chatroom.  Now you have resorted to putting up fake posts on Wiki?  I've got a better idea for you - instead of spending all this time trying to discredit my work why don't you stop pulling shams and posting false information and spend your time actually making good scales.  Perhaps you could make some designs of your own and maybe even invest in a factory.  Take a NIST 44 Class and learn how to build a weighbridge,  learn how to bond sensors to a load cell properly and see if you can actually MAKE a scale rather then just badmouthing everyone else's products.

Please stop this game and your shams Lee.",0
I've had enough of you. Shut up.,1
"Tim Montgomerie

Hi. I want to nominate this page for deletion but cannot as I do not have a username. The reason is that the person is just a blogger and is not notable enough. If you look at the article all the sources about him are on his or his friends blogs. Can you help me with the process. Thank you very much for your time.",0
"Redirect
I think social housing is better explained under subsidized housing, which incorporates several different versions/methods including Public Housing.  Please respond at the talk page.",0
Agree.  Thanks for the clarification.  Have removed the links from the article.  Please delete image.,0
"Triton Rocker 

You've blocked Triton really on a technicality. I would have reverted Snowded's change much earlier but my system was down, and in any case, Snowded should have reverted it himself as soon as he realised he was wrong, but for reasons best known to himself, he didn't. Triton merely implemented an agreed change, which is, as I say, a technical breach of the topic ban, and one that should not attract a block, in the interests of good will.",0
"Apology accepted, thanks. This crazy anti/pro <> Airbus/Boeing war is disruptive and i think about solutions to decrease its effects. But changing the brain and believes of humans is not quickly possible. But again: Thanks for thinking clearly.",0
"""
Ok, I will. Just a question: since it's about 'correcting IPA transcriptions according to en.wikipedia itself' (in Help:IPA for Italian and Labiodental nasal sources are already provided), if I do what you said, I'll have to do it: a) from now on; and b) on every single page where somebody has modified an IPA transcription (such as that page whose history I linked). Right? Or wrong? If I'm right, no problem. If I'm wrong... Then why making distinctions between Pittura infamante and anything else? Why must I add a source in the article instead of indicate it in the edit summary 'there' but not anywhere else? That's what seems absurd to me.  — Preceding unsigned comment added by 194.145.208.20   
Wikipedia is a collaborative site run by volunteers, and as such it is not always consistent.  If you change a page while nobody is watching, and nobody notices after the fact, it slides through.  If you always follow policies when it comes to sourcing, you can't go wrong. IV """,0
I don't fucking understand.,1
"Hi, sorry I took so long to respond. I forgot to tell you that I won't be online during weekends. That's a wealth of information you've given me. Thanks so much! I'm going to take some time to look through it. If it is okay with you, I'll let you know when I'm ready? Is that ok?",0
"Testament (band)
Again, please stop reverting to older versions of the article and view the discussion on the talk page. Thank you.",0
"October 2008 
 Please stop your disruptive editing. If you continue to vandalize Wikipedia,  you will be blocked from editing.    
If this is a shared IP address, and you didn't make the edit, consider creating an account for yourself so you can avoid further irrelevant notices.",0
"Tupac Shakur
You have my support on this.",0
"""
""""Wikipedia is not a court-hearing transcript"""". Well this directly contradicts Wikipedia policy itself where when reputable sources contradict one another, then you are required to present the differing viewpoints with clarity. If this turns out to be like a 'court-hearing transcript' transcript so be it (but you are misunderstanding my use of 'he says'. We don't need to specifically do that if the context makes it clear anyway:
NPOV weights viewpoints in proportion to their prominence. However, when reputable sources contradict one another and are relatively equal in prominence, the core of the NPOV policy is to let competing approaches exist on the same page: work for balance, that is: describe the opposing viewpoints according to reputability of the sources, and give precedence to those sources that are most reliable and verifiable. 
I have a suggestion. I'll write the Ernst and al viewpoint and you do the other. I can do mine first.   """,0
"I concur Milkncookie. I intended to move the page to BYU Cougars football, but you beat me to it.",0
FUCK ALL YOU CAMEL JOCKEY PUSSY LICKING DINK LOOKING DICK SUCKERS!!!,1
"You Are One Stupid Jackass
I don't believe any of the nonsense your profile for one second.  You need to stop listing absolute nonsense on your profile if you want to convince me, and others, you're reliable.  Only a dilweed with a very low IQ would be any of your fiction, you stupid jackoff.",1
Fuck you bitch! I will go to your house and kill you with my gun!,1
"Universal Soldier III: A New Beginning (2009 film) 

Hey i nominated that article for deletion would you mind voting clicky. I could not find any reliable source if you found any add it. Thanks.",0
"""

""""Syria government,with concept of Arap nationalisic,registered the Turk under the name of muslim during the census,living in Syria.So, Turks real number,expensed a large area. """"

""",0
"""

Yup.  I wonder as well.  I also hope that soon the coroner's report is released, and """"all hell breaks loose,"""" so we can all finally get to work on fixing this thing with some reliable information.  Just me.  Your mileage may vary.    """,0
"New External Link? 

I would like to add this external link to the MH page: http://pie.med.utoronto.ca/MH
It's a good resource for clinicians and patients to learn about MH diagnosis and treatment, current research and has instructions for acute treatment and post-crisis treatment. The website was developed at Toronto General Hospital by the Malignant Hyperthermia Investigation Unit, so it is an authoritative source. Is this ok?

192.75.165.28",0
"""

 December 2013 
 '''''' [[User talk:Corvoe|(speak to me)]] """,0
"Also, you also undid my sorting of the categories unnecessarily. Please don't undo edits when all you want to do was insert a single line.",0
"can you believe that maldives president is david cameron and vice president is ariel sharon? did you see that on wikipedia? ))

you need to edit that part.",0
"I have reverted your edit to Coretta Scott King, as it constitutes original research. Wikipedia does not publish new works or original synthesis of material. Instead, we are a tertiary work, relying on reliable secondary sources for our information. If you can find a source discussing the information you want to add to King's article, then you can replace it.",0
", 20 July 2010 (UTC)

 I shall do my best to add a bag of ice should I find it necessary to respond, in the future, to such nonsense as this false accusation.75.4.195.159  02:26",0
"Colombo Royal College  has made , and Wikipedia administrators a bunch of Puppets with crappy rules and they all are dancing to the decent tune and tactics of this  cunnig fox. 's vision is to have ONLY ONE ROYAL FOR SRI LANKA. As long as 
wikipedia is alive it will not be a reality.  will sing posts to his own tune to eleminate and crush other legal schools in Sri Lanka with name ROYAL''. 's record is very clear and we are alive. More ROYAL on the way. Administrators enjoy the smell of ROYAL FART by  and dance to the tune of  from COLOMBO ROYAL COLLEGE. ROYAL DUST BIN IS SMELLY. More to come.
Keep farting wide Royal Jackal Cossde''' in Royal way. 
Smell is so pres·tig·iously owesome. You have Harassed all Sri Lankan Royalists.

 - Reid Avenue turned into battlefield
 - Royal principal summons parents' meeting 
 - No classes for upper school students at Royal and Thurstan
 - Royal, Thurstan students clash; policeman injured 
Royal College Panadura
Battle of the Greens
Royal College Wayamba, Kurunegala
Battle of Wayamba
Royal College Monaragala
Royal College Nagoda
Royal College Horana
Royal College Polonnaruwa
Royal College Telijjawila

(184.169.143.224  ).",0
"""::Please note - I've gone ahead and warned Jayjg, this has gone too far - see below:

Jay jay jay... what's your opposition to a POV check on Hamas, it's just a standard procedure isn't it? A real answer please rather than fake quotes of policy  
:Do not remove comments please, it was a legitimate question. I have a good mind to have you """"checkuser-ed"""" from looking at your previous edits. And no - your admin, ArbCom and popularity status do not exempt you - this campaign you have going ends now  

""",0
"""

 Please do not vandalize pages, as you did with this edit to Arthur Conan Doyle. If you continue to do so, you will be blocked from editing.    """,0
